dataset,model,model_type,n_features,train_time,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,primary_metric
AutoMPG,Linear Regression,BASELINE,6,0.05731081962585449,0.8098127041307459,0.02490534195990334,3.393885079573065,0.39523793338448104,2.552738638563738,0.2677563100751179,0.8098127041307459
AutoMPG,Ridge Regression,BASELINE,6,0.045156240463256836,0.8098796321256698,0.02485027805089863,3.3933425491292204,0.39523654737453806,2.5527674976286026,0.2673717903501835,0.8098796321256698
AutoMPG,Lasso Regression,BASELINE,6,0.0595860481262207,0.8113293320208005,0.02413056575112913,3.381676672858764,0.4012119335984879,2.551906167609336,0.2565076795117192,0.8113293320208005
AutoMPG,Decision Tree,BASELINE,6,0.09244990348815918,0.7249057329938828,0.08828323446862202,4.019516924639374,0.5356289412445946,2.715044738087985,0.2729381602353125,0.7249057329938828
AutoMPG,Random Forest,BASELINE,6,1.0436322689056396,0.8653093760340056,0.033365616220158795,2.83906152099873,0.42806160373972435,2.0138200670187842,0.20091921967610143,0.8653093760340056
AutoMPG,Extra Trees,BASELINE,6,0.9150075912475586,0.8711642052348102,0.017840275657067254,2.791158375164732,0.32575459779077104,1.9571383934854971,0.09139208329078409,0.8711642052348102
AutoMPG,Gradient Boosting,BASELINE,6,0.664259672164917,0.8300700744454433,0.052394086987022956,3.168370178063618,0.4388003530889867,2.1830484996566337,0.2225116921260299,0.8300700744454433
AutoMPG,XGBoost,BASELINE,6,0.25693702697753906,0.8360163060863085,0.05322227059185347,3.1109655265218636,0.4781318424281201,2.194918148046807,0.2708662053781538,0.8360163060863085
AutoMPG,RLT-RandomForest,RLT,6,1.1845099925994873,0.8652785370471593,0.03300548798233766,2.839853574946967,0.4239148911310092,2.0116904920922627,0.19578050699475708,0.8652785370471593
AutoMPG,RLT-ExtraTrees,RLT,6,0.8187580108642578,0.8711642052348102,0.017840275657067244,2.791158375164732,0.3257545977907708,1.9571383934854971,0.09139208329078445,0.8711642052348102
AutoMPG,RLT-GradientBoosting,RLT,6,0.5711612701416016,0.8316440507442117,0.052771406154053,3.152477553934859,0.4412035763641979,2.1734709776836514,0.22648833768069285,0.8316440507442117
AutoMPG,RLT-XGBoost,RLT,6,0.23844647407531738,0.8360163060863085,0.05322227059185347,3.1109655265218636,0.4781318424281201,2.194918148046807,0.2708662053781538,0.8360163060863085
