dataset,model,model_type,n_features,train_time,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,primary_metric
BostonHousing,Linear Regression,BASELINE,13,6.21783709526062,0.7145935640191651,0.03732533184182667,4.84841654568582,0.18788940913420243,3.395109633148151,0.18920682525460206,0.7145935640191651
BostonHousing,Ridge Regression,BASELINE,13,0.09070682525634766,0.7116311570058169,0.03773072427678644,4.87213538679241,0.15669803961875645,3.3873187651923344,0.20588262378151762,0.7116311570058169
BostonHousing,Lasso Regression,BASELINE,13,0.08378720283508301,0.6993670608588192,0.037636652199683554,4.975582542191876,0.11431614247002804,3.442178036075604,0.23030639675857106,0.6993670608588192
BostonHousing,Decision Tree,BASELINE,13,0.2774486541748047,0.7803874695248809,0.06253748683185734,4.246400424082247,0.7523466347416605,2.9384096450489445,0.39138274068799705,0.7803874695248809
BostonHousing,Random Forest,BASELINE,13,1.9862689971923828,0.8713774078292353,0.03306835696132095,3.2467787831763495,0.4631081144570315,2.204720465990672,0.21080331247751308,0.8713774078292353
BostonHousing,Extra Trees,BASELINE,13,1.051067590713501,0.8787509895683282,0.02316856433779536,3.1447333368633714,0.22041467513648635,2.1515459764328426,0.15119862441819987,0.8787509895683282
BostonHousing,Gradient Boosting,BASELINE,13,1.327639102935791,0.882815375404099,0.057514437425434765,3.0697710671011067,0.8028096133141348,2.067167408732278,0.3166550451401279,0.882815375404099
BostonHousing,XGBoost,BASELINE,13,0.6735219955444336,0.8847189109164466,0.02854260183502989,3.073540732957695,0.42086608318629876,2.1310724942343047,0.21344322070830674,0.8847189109164466
BostonHousing,RLT-RandomForest,RLT,11,1.802504539489746,0.8720595637502793,0.030363957999591826,3.2401651753090297,0.4279246091506579,2.1946977518155597,0.2029484668535552,0.8720595637502793
BostonHousing,RLT-ExtraTrees,RLT,11,1.0037004947662354,0.893814211098384,0.020628941439692506,2.952179353537339,0.29724801342775586,2.0944334139893046,0.18642712396253122,0.893814211098384
BostonHousing,RLT-GradientBoosting,RLT,11,1.211073875427246,0.8870353348781507,0.04153675934875703,3.0397537146972353,0.6284399811157468,2.041357460581352,0.24439333128530175,0.8870353348781507
BostonHousing,RLT-XGBoost,RLT,11,0.5151886940002441,0.8861933717329054,0.02557378720161075,3.061377243818315,0.4105632511143068,2.1145612675572942,0.2431539691670386,0.8861933717329054
