dataset,model,model_type,n_features,train_time,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,primary_metric
SchoolData,Logistic Regression,BASELINE,35,0.8271067142486572,0.61,0.08306623862918074,0.6017894382585904,0.07795567586534691,0.7879897035834537,0.02628671621788738,0.61
SchoolData,Decision Tree,BASELINE,35,0.0938568115234375,0.575,0.08366600265340755,0.5736152649662886,0.08109216057108609,0.6694897787397787,0.060155807023269295,0.575
SchoolData,Random Forest,BASELINE,35,0.9861125946044922,0.685,0.07348469228349536,0.6507056893260327,0.07547105637196012,0.8290468674843675,0.03631988302199906,0.685
SchoolData,Extra Trees,BASELINE,35,0.9132604598999023,0.655,0.057879184513951125,0.6154707932576438,0.06023794520492365,0.818609172077922,0.018612105059772097,0.655
SchoolData,Gradient Boosting,BASELINE,35,3.585585832595825,0.665,0.07516648189186456,0.6416825701430353,0.08784009624519552,0.8145990259740261,0.056079239747028865,0.665
SchoolData,XGBoost,BASELINE,35,0.32770586013793945,0.65,0.06519202405202647,0.6339475029156219,0.05921647406791125,0.8217051166426167,0.05380283038634011,0.65
SchoolData,RLT-RandomForest,RLT,25,1.118703842163086,0.7050000000000001,0.06204836822995429,0.6662519188299548,0.06030921332958161,0.8311595343314094,0.038466531316749195,0.7050000000000001
SchoolData,RLT-ExtraTrees,RLT,25,0.8486533164978027,0.675,0.0570087712549569,0.6306007180775633,0.06096113093136046,0.8172481286075037,0.04035383641440314,0.675
SchoolData,RLT-GradientBoosting,RLT,25,3.4305858612060547,0.6699999999999999,0.06403124237432847,0.6457456027176958,0.07158478705219624,0.7967336760461762,0.06333276645372199,0.6699999999999999
SchoolData,RLT-XGBoost,RLT,25,0.3213076591491699,0.655,0.08573214099741124,0.6344973143387778,0.08134329880655139,0.8200324975949975,0.06273997420454727,0.655
