Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
lstat,0.3849670859129242,0.45247611530407605,0.3669483199065816,0.28598655914330556
rm,0.31641548449508644,0.3633337624892172,0.31554652126056054,0.2243168549758764
ptratio,0.049390251437487806,0.016228957487792406,0.06562736913807454,0.08323860393570509
dis,0.040387821153373395,0.06310853216725389,0.02987978691630972,0.015962467599739738
tax,0.03810200664566442,0.014339068898296285,0.047221933181131395,0.06738802906946674
nox,0.03536913880874949,0.021468024257390556,0.04019394049993255,0.05352176452910125
crim,0.03332576956872958,0.03396068730832882,0.028084566198528185,0.0425383408299339
indus,0.03325653402650611,0.005959744756769626,0.04058940330366553,0.0731843740116602
age,0.019754815339293526,0.014052457042991354,0.015493555569012229,0.03968205147246046
b,0.01634719767532442,0.00985941118573753,0.01602177585367041,0.029973614297806213
rad,0.015793301084804555,0.00295515837813503,0.016107882574914238,0.04084042351792423
zn,0.009522078612906042,0.0014186931692214708,0.004499173877128261,0.03577465897183075
chas,0.007368515239150131,0.0008393875547898239,0.01378577172049079,0.007592257645189425
