Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
spread1,0.170354420239098,0.17405963770494084,0.13164226432694232,0.24036829713172359
MDVPFoHz,0.13790392615495908,0.14526206493423385,0.15525607516560608,0.08848335057511547
spread2,0.09781038373051318,0.08314451346116453,0.09446961128544962,0.1338236691593375
MDVPFloHz,0.08629626605517557,0.07672932230516999,0.09566509467904193,0.08669249630745397
MDVPJitterAbs,0.07179413951092438,0.07089212458805154,0.07536306148121727,0.06646032541608428
D2,0.06621828896502387,0.06419025972380556,0.06777417053678485,0.06716258430393846
MDVPShimmer,0.062371421705119695,0.05621816474759968,0.059674002359027624,0.08007277431234387
MDVPFhiHz,0.06175204557272412,0.07117854934353608,0.0759203358952654,0.014562457386017618
HNR,0.05468968314832454,0.048955289502367064,0.0492034261602457,0.07713098441639715
RPDE,0.05033601468607485,0.05194411819074323,0.04690153563336073,0.053988765782166326
DFA,0.049448782663251985,0.048098919671720156,0.06096537637093552,0.029115321230948562
NHR,0.049035532052507415,0.07131296619113882,0.0417284753845204,0.01909477711121862
MDVPJitter,0.041989095516303525,0.038014069635528815,0.04543657072160266,0.043044196867254685
