Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
feature_10,0.06168231391756046,0.06897597822381345,0.04300008682197801,0.08445943949621935
feature_11,0.05475771452081756,0.06027141154022256,0.043318465831543716,0.06660881786055523
feature_9,0.037972649458156475,0.035854716924722675,0.03495380090953099,0.04824621162227504
feature_8,0.03633143205798445,0.03929077780511694,0.03043115427196253,0.042213296135763294
feature_48,0.03603368247727594,0.03199842403088924,0.032297337050684674,0.05157689022323186
feature_44,0.033487646848566935,0.03339353353048614,0.02647924178824537,0.04769268360537164
feature_47,0.032381725933364074,0.033077976395775796,0.025594025746893373,0.044564625381482016
feature_35,0.027807633019054458,0.02586173377555983,0.029352552239038623,0.028609593066075367
feature_12,0.026416219687448228,0.02768385957895232,0.018490488623399175,0.039732402032538146
feature_46,0.02586191242126688,0.023205121284271293,0.0231089150606077,0.036681489416576424
feature_20,0.023266668810022786,0.018722120128174126,0.027975022348327543,0.022939059097110588
feature_51,0.0230353769269919,0.027750661081189704,0.01318999519403301,0.03329557208451408
feature_45,0.02226411672271008,0.01838539470366987,0.01840593758312792,0.03773791903995482
feature_50,0.02219449193128263,0.019434101926299418,0.018825094769714532,0.03445406626438524
feature_36,0.021993131631245406,0.020222882079727184,0.026389331011611502,0.01674123197354965
feature_19,0.020158824554250686,0.01916806304749016,0.021542807605869692,0.019372381464533715
feature_43,0.017708882615342064,0.01111198464378962,0.01831908605409386,0.029682271680943364
feature_27,0.01727284620279718,0.0184024126440065,0.023524963931494152,0.002509477862984603
feature_0,0.017243385657615698,0.013185558735146383,0.015324890136817993,0.029196030544149744
feature_42,0.016446144137886608,0.01447903053498563,0.016018888419445453,0.02123488278057086
feature_3,0.015771529832896806,0.012834426710825622,0.014317119454063264,0.024554556834706254
feature_34,0.015424050152022445,0.015732420261095365,0.012814887156233168,0.02002563592545516
feature_16,0.014599924708064158,0.02014813986431081,0.016348786509827223,5.770792044719554e-06
feature_4,0.0145006672839082,0.012896825542711475,0.013839188441773486,0.019031308450571074
feature_21,0.014351042738337231,0.012428693087498348,0.015708615578413344,0.015480596359862766
feature_30,0.013580486848607274,0.0163758524196848,0.015301808991312778,0.004547111421041201
feature_18,0.013438149778367572,0.01403761086947644,0.015991208240529037,0.007133110671826895
feature_22,0.013147568917458958,0.012789872746516011,0.01705657179070335,0.006044955512856058
feature_13,0.013080229039490443,0.016640844966547528,0.011414143145973032,0.009291168972411092
feature_1,0.012767997767047932,0.009823920723372985,0.011749077463969313,0.020693992460555054
feature_15,0.012744093747518767,0.018224633195525548,0.013611033763901579,4.913481873957647e-05
feature_53,0.01267344741771641,0.011076195348944865,0.014283464336837299,0.01264791771701771
feature_14,0.012067737295719288,0.014174353047432104,0.015391269050064897,0.0012074422836024252
feature_17,0.011912988543963303,0.014532509687809402,0.015210847746800212,7.822785059727334e-05
feature_26,0.011906909333547528,0.01070455378379929,0.018507044803019953,0.001111349494099152
feature_5,0.0116270131758291,0.013822920917288551,0.011980270916115636,0.006528682212337118
feature_7,0.01148400551543191,0.009705827867899265,0.012195748804673829,0.013616874232013356
feature_33,0.011401332534889112,0.0083862776197867,0.014532578669687168,0.011168950095497822
feature_49,0.011023266786287575,0.010750323700056075,0.010658959809793419,0.012297766911738884
feature_37,0.010511732115660784,0.009939532671094495,0.01603847435106812,0.0006026465339786875
feature_2,0.010393424680873693,0.008864347458834158,0.010094009172105642,0.014050410142488864
feature_32,0.010078619248588236,0.011635057618972475,0.011432805589774922,0.004257369825446383
feature_39,0.009820333599678481,0.015156346883421644,0.009157760106431009,0.00047345401868709104
feature_41,0.009581605213185955,0.00927093202193252,0.0107965591917423,0.007773043638580126
feature_52,0.009338705995204057,0.010745732026386142,0.008838777404641314,0.007524511113965368
feature_58,0.009222512343888033,0.009498170361578857,0.010368666003148412,0.006378888989985625
feature_28,0.00882470927323485,0.00918070705038818,0.012634861865651653,0.0004924085340945716
feature_57,0.008824568126252832,0.0057987108626933355,0.009830555860001783,0.012864307185873924
feature_38,0.008758592011356084,0.010235114489937035,0.011066226077957783,0.0011902789209907864
feature_31,0.008723948670091615,0.008731499934959067,0.012517051316263477,0.00112264084801298
feature_24,0.008436822787177976,0.008449223495447002,0.012525467138760057,0.00023473266747575688
feature_29,0.008299233658494588,0.009208314963411872,0.011536509058017489,6.520249614222455e-06
feature_54,0.00811209443443231,0.009061064558026495,0.009528394401399432,0.0033815542533096894
feature_40,0.007595134169845981,0.006913355065767591,0.011994116364653024,0.00016072798838867204
feature_23,0.00758101239619052,0.008472267377780738,0.009470625078829094,0.0020192770677329346
feature_25,0.007374360662991026,0.00642612481026359,0.011865416228364942,0.0002887212376980594
feature_6,0.007353432328359219,0.008287415745441538,0.007652287290191602,0.004887755570529814
feature_59,0.006783369746950398,0.0058733029838291696,0.009587557780218728,0.002995127206656194
feature_55,0.006613050774727915,0.0064866543175664025,0.0069297673205828275,0.006232410597341115
feature_56,0.005953496814071089,0.006204180327397828,0.008679402328084772,3.1875939024627736e-07
