Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
feature_27,0.17911591125619764,0.19691760556847276,0.1593796819060351,0.1829849813319722
feature_7,0.16582832236753506,0.17512045833159898,0.15770202813638987,0.1634966389016976
feature_6,0.11056949562612856,0.12404969001473037,0.10173240417670355,0.10128328974777484
feature_0,0.10863157663954376,0.113244511880387,0.09695450274644189,0.12275985394406094
feature_26,0.08074606287370524,0.0770275858537728,0.0834080417450804,0.0828590591708198
feature_10,0.059209928855019356,0.04808161078657911,0.07443798151991214,0.05101045966211425
feature_25,0.03985945804504777,0.03146602227140179,0.039309392236452176,0.05774646120953091
feature_5,0.037453668838287726,0.03170362953747561,0.032213714916802444,0.05943365528288252
feature_21,0.03533680234939356,0.029475301991344825,0.04467425188257008,0.028384903999138
feature_1,0.026516112567073383,0.023928069991007526,0.031158285402208673,0.022407852048934505
feature_24,0.021158244484406112,0.01510151453668731,0.026174935965065836,0.023238321418524253
feature_17,0.017571535280754468,0.015995724711937803,0.017187728836231445,0.02149076930743384
feature_28,0.017053709889921626,0.009646534192258522,0.02171131644615934,0.022552848172772404
feature_16,0.016658219613420375,0.023397864158916416,0.014546330505400313,0.007402708738468422
feature_4,0.012588470691262121,0.0077169441718881035,0.015818142192795287,0.015872180726943824
feature_9,0.01256565704615334,0.014030663244349128,0.017374612766747486,1.7733208573469288e-05
feature_15,0.010964290683290126,0.011927600448213789,0.010431482268669731,0.010103287982683583
feature_29,0.010469628889547503,0.007757658481861643,0.012112789184001391,0.01260724911601145
feature_19,0.009808302255145503,0.01414115542380432,0.010050560498204757,0.000658079431709364
feature_8,0.009471109584306726,0.005422854238900739,0.01165876115425458,0.01319231713522299
feature_11,0.006313821283552851,0.008188350395939653,0.007592493847926345,7.417930032259328e-06
feature_18,0.006172312091832538,0.007806128561707161,0.007622363618282096,4.576099184175014e-06
feature_14,0.005937358788474797,0.007852521206764709,0.00674819804766501,0.00048535543351454087
