Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
alcohol,0.25093750618927674,0.1710376199382747,0.24817339817815598,0.41626549471352225
volatile_acidity,0.1281707729180282,0.10634542123271801,0.10654327454630161,0.21507647303210164
total_sulfur_dioxide,0.11474906901339521,0.11040038048511804,0.13014083664866177,0.09266291079941637
sulphates,0.10239475708485804,0.11557409490125073,0.10311324324972183,0.07459910912234505
density,0.07363871397595313,0.08814086048396415,0.07008461433518848,0.051742620241460376
citric_acid,0.06577501121169362,0.0640478360270536,0.0676100290508536,0.06555932590265362
chlorides,0.05542693648175217,0.07373098386605545,0.05396732682102989,0.02173806103459017
fixed_acidity,0.05499835043497633,0.06917028602845043,0.05789213998060602,0.020866900156768703
pH,0.05365042714267905,0.07369477869234566,0.051623454661072106,0.01761566900655971
residual_sugar,0.05059977910816457,0.06707270662544641,0.0571337631790163,0.004585955931897406
free_sulfur_dioxide,0.0496586764392231,0.060785031719322896,0.0537179193493925,0.01928748005868471
