Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
alcohol,0.26892175917723216,0.15668096718973845,0.3061619932905077,0.4189228749256685
density,0.1317328259398762,0.11351049703461136,0.11515660026081483,0.20132993510852865
volatile_acidity,0.10901905302611331,0.1087311077552501,0.11527278077501993,0.09708748807002651
total_sulfur_dioxide,0.07368027097013118,0.08084221997585883,0.06403172683817598,0.07865346122258626
chlorides,0.0712235095498914,0.08077233960630498,0.06156685986504767,0.07143914880675171
free_sulfur_dioxide,0.07037476041218609,0.09095849307100379,0.06823303290120669,0.03349075011650945
residual_sugar,0.06604500614332585,0.08163547262390783,0.06275560576132427,0.041442873946165054
pH,0.05823197550277409,0.07753103556077562,0.05615400712122529,0.023789792149868625
citric_acid,0.053714032961263355,0.07393456647749262,0.05816255868048533,0.004375914490360861
fixed_acidity,0.049400959185119664,0.06563934809095562,0.04589433968070991,0.023937420382267236
sulphates,0.047655847132086725,0.06976395261410086,0.046610494825482414,0.005530340781267077
